Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?node=SEARCHRESULTS&q=EXR.D.E5.PLN.EN00.A
,EXR.D.E5.PLN.EN00.A
,"ECB Nominal effective exch. rate of the Polish zloty against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US,EA and BG,CZ,HU,PL,RO,CN,HR excluding the Polish zloty"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2017-04-10,96.9980
2017-04-07,97.1896
2017-04-06,97.2277
2017-04-05,97.1856
2017-04-04,96.5442
2017-04-03,97.1669
2017-03-31,97.2811
2017-03-30,97.4859
2017-03-29,97.1616
2017-03-28,97.1542
2017-03-27,96.8057
2017-03-24,96.5838
2017-03-23,96.5238
2017-03-22,96.3110
2017-03-21,96.7342
2017-03-20,96.2391
2017-03-17,95.8578
2017-03-16,95.8616
2017-03-15,95.2785
2017-03-14,95.2950
2017-03-13,95.0134
2017-03-10,95.1961
2017-03-09,95.2163
2017-03-08,95.2833
2017-03-07,95.4068
2017-03-06,95.3659
2017-03-03,95.5128
2017-03-02,95.4642
2017-03-01,95.4354
2017-02-28,95.0584
2017-02-27,95.0452
2017-02-24,95.1067
2017-02-23,95.1297
2017-02-22,95.2239
2017-02-21,95.1392
2017-02-20,94.8975
2017-02-17,94.8380
2017-02-16,95.0742
2017-02-15,95.2838
2017-02-14,95.3841
2017-02-13,95.1537
2017-02-10,95.5970
2017-02-09,95.3311
2017-02-08,95.2427
2017-02-07,95.5497
2017-02-06,96.1324
2017-02-03,95.7687
2017-02-02,95.6572
2017-02-01,95.3814
2017-01-31,95.2420
2017-01-30,94.8397
2017-01-27,94.7899
2017-01-26,94.7038
2017-01-25,94.3338
2017-01-24,94.2154
2017-01-23,94.1627
2017-01-20,94.1497
2017-01-19,94.1284
2017-01-18,94.1869
2017-01-17,94.1818
2017-01-16,94.0991
2017-01-13,94.1685
2017-01-12,94.0906
2017-01-11,94.0640
2017-01-10,94.1373
2017-01-09,93.9254
2017-01-06,94.4135
2017-01-05,93.9439
2017-01-04,93.6714
2017-01-03,93.2907
2017-01-02,93.0596
2016-12-30,93.2642
2016-12-29,93.0289
2016-12-28,93.1918
2016-12-27,93.1531
2016-12-26,-
2016-12-23,93.1126
2016-12-22,93.0660
2016-12-21,93.0010
2016-12-20,92.9151
2016-12-19,92.9955
2016-12-16,92.8463
2016-12-15,92.2297
2016-12-14,92.6344
2016-12-13,92.4405
2016-12-12,92.2937
2016-12-09,92.3696
2016-12-08,92.5744
2016-12-07,93.0744
2016-12-06,92.0024
2016-12-05,91.4984
2016-12-02,91.6310
2016-12-01,92.0365
2016-11-30,92.4993
2016-11-29,92.7743
2016-11-28,93.0505
2016-11-25,93.0688
2016-11-24,92.8763
2016-11-23,93.1327
2016-11-22,93.0184
2016-11-21,92.8660
2016-11-18,92.6215
2016-11-17,92.6995
2016-11-16,92.7289
2016-11-15,93.2081
2016-11-14,93.5601
2016-11-11,93.6620
2016-11-10,94.7960
2016-11-09,95.4700
2016-11-08,95.6978
2016-11-07,95.7064
2016-11-04,95.9476
2016-11-03,95.9002
2016-11-02,95.8781
2016-11-01,96.1759
2016-10-31,95.6284
2016-10-28,95.5378
2016-10-27,95.4955
2016-10-26,95.5668
2016-10-25,95.8898
2016-10-24,95.6385
2016-10-21,95.4379
2016-10-20,95.4953
2016-10-19,95.6875
2016-10-18,95.7389
2016-10-17,95.6095
2016-10-14,96.1393
2016-10-13,96.2549
2016-10-12,96.2672
2016-10-11,96.9639
2016-10-10,96.7984
2016-10-07,96.7444
2016-10-06,96.4296
2016-10-05,96.4314
2016-10-04,96.2893
2016-10-03,96.3729
